Feature,Importance
coolant,0.3786695548157195
motor_speed,0.14852882432832312
ambient,0.11543088345416475
u_d,0.0846989346148705
i_d,0.07012004358770174
profile_id,0.06013172171782035
voltage_magnitude,0.04886400602908224
u_q,0.03882182062835486
i_q,0.023925755956466958
current_magnitude,0.016688064536770873
temp_difference,0.014120390330725157
